ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  17:47:06
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-16  -  17:53:47
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  17:53:53
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  17:54:00
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  17:54:02
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-16  -  17:54:10
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  17:54:49
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  17:54:50
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  17:54:51
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-16  -  17:55:43
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-16  -  18:12:16
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  18:12:23
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  18:12:26
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  18:12:31
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  18:13:18
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  18:13:27
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  18:13:40
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-16  -  18:14:04
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  18:15:26
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  18:15:27
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  18:15:54
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-16  -  18:16:18
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-16  -  18:17:22
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-16  -  18:17:23
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-16  -  18:17:25
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-16  -  18:17:26
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-17  -  12:18:09
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-17  -  12:18:11
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-17  -  12:26:42
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-17  -  12:26:43
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-17  -  12:29:02
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-17  -  12:29:43
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-17  -  12:29:59
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-17  -  12:39:52
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-17  -  12:39:54
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-17  -  12:39:55
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-17  -  12:39:57
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-17  -  12:40:04
